tweet_id,_true_intent,_true_escalate,_true_escalate_reason
100180,general_feedback,False,
100182,delivery_delay,True,explicit human/manager or legal/fraud escalation trigger phrase
100184,order_status_inquiry,False,
100186,refund_or_return,False,
100188,damaged_or_wrong_item,False,
100190,account_or_login_issue,False,
100192,billing_or_charge_dispute,False,
100194,general_feedback,False,
100196,delivery_delay,False,
100198,order_status_inquiry,False,
100200,refund_or_return,False,
100202,damaged_or_wrong_item,False,
100204,account_or_login_issue,False,
100206,billing_or_charge_dispute,True,explicit human/manager or legal/fraud escalation trigger phrase
100208,general_feedback,False,
100210,delivery_delay,False,
100212,order_status_inquiry,True,explicit human/manager or legal/fraud escalation trigger phrase
100214,refund_or_return,False,
100216,damaged_or_wrong_item,False,
100218,account_or_login_issue,False,
100220,billing_or_charge_dispute,False,
100222,general_feedback,False,
100224,delivery_delay,False,
100226,order_status_inquiry,False,
100228,refund_or_return,False,
100230,damaged_or_wrong_item,True,explicit human/manager or legal/fraud escalation trigger phrase
100232,account_or_login_issue,False,
100234,billing_or_charge_dispute,False,
100236,general_feedback,False,
100238,delivery_delay,False,
100240,order_status_inquiry,False,
100242,refund_or_return,False,
100244,damaged_or_wrong_item,False,
100246,account_or_login_issue,False,
100248,billing_or_charge_dispute,False,
100250,general_feedback,False,
100252,delivery_delay,False,
100254,order_status_inquiry,False,
100256,refund_or_return,False,
100258,damaged_or_wrong_item,False,
100260,account_or_login_issue,False,
100262,billing_or_charge_dispute,False,
100264,general_feedback,False,
100266,delivery_delay,False,
100268,order_status_inquiry,False,
100270,refund_or_return,False,
100272,damaged_or_wrong_item,False,
100274,account_or_login_issue,False,
100276,billing_or_charge_dispute,False,
100278,general_feedback,False,
100280,delivery_delay,False,
100282,order_status_inquiry,False,
100284,refund_or_return,False,
100286,damaged_or_wrong_item,False,
100288,account_or_login_issue,False,
100290,billing_or_charge_dispute,False,
100292,general_feedback,False,
100294,delivery_delay,False,
100296,order_status_inquiry,False,
100298,refund_or_return,False,
100300,damaged_or_wrong_item,False,
100302,account_or_login_issue,False,
100304,billing_or_charge_dispute,False,
100306,general_feedback,False,
100308,delivery_delay,False,
100310,order_status_inquiry,False,
100312,refund_or_return,False,
100314,damaged_or_wrong_item,False,
100316,account_or_login_issue,False,
100318,billing_or_charge_dispute,False,
100320,general_feedback,True,explicit human/manager or legal/fraud escalation trigger phrase
100322,delivery_delay,False,
100324,order_status_inquiry,False,
100326,refund_or_return,False,
100328,damaged_or_wrong_item,True,explicit human/manager or legal/fraud escalation trigger phrase
100330,account_or_login_issue,False,
100332,billing_or_charge_dispute,True,explicit human/manager or legal/fraud escalation trigger phrase
100334,general_feedback,False,
100336,delivery_delay,False,
100338,order_status_inquiry,False,
100340,refund_or_return,True,explicit human/manager or legal/fraud escalation trigger phrase
100342,damaged_or_wrong_item,False,
100344,account_or_login_issue,False,
100346,billing_or_charge_dispute,False,
100348,general_feedback,True,explicit human/manager or legal/fraud escalation trigger phrase
100350,delivery_delay,False,
100352,order_status_inquiry,False,
100354,refund_or_return,False,
100356,damaged_or_wrong_item,False,
100358,account_or_login_issue,True,explicit human/manager or legal/fraud escalation trigger phrase
100360,billing_or_charge_dispute,False,
100362,general_feedback,False,
100364,delivery_delay,False,
100366,order_status_inquiry,False,
100368,refund_or_return,False,
100370,damaged_or_wrong_item,False,
100372,account_or_login_issue,False,
100374,billing_or_charge_dispute,False,
100376,general_feedback,False,
100378,delivery_delay,False,
100380,order_status_inquiry,False,
100382,refund_or_return,False,
100384,damaged_or_wrong_item,False,
100386,account_or_login_issue,False,
100388,billing_or_charge_dispute,True,explicit human/manager or legal/fraud escalation trigger phrase
100390,general_feedback,False,
100392,delivery_delay,True,explicit human/manager or legal/fraud escalation trigger phrase
100394,order_status_inquiry,False,
100396,refund_or_return,False,
100398,damaged_or_wrong_item,False,
100400,account_or_login_issue,False,
100402,billing_or_charge_dispute,False,
100404,general_feedback,False,
100406,delivery_delay,True,explicit human/manager or legal/fraud escalation trigger phrase
100408,order_status_inquiry,False,
100410,refund_or_return,False,
100412,damaged_or_wrong_item,False,
100414,account_or_login_issue,False,
100416,billing_or_charge_dispute,False,
100418,general_feedback,False,
100420,delivery_delay,False,
100422,order_status_inquiry,False,
100424,refund_or_return,False,
100426,damaged_or_wrong_item,False,
100428,account_or_login_issue,False,
100430,billing_or_charge_dispute,False,
100432,general_feedback,False,
100434,delivery_delay,False,
100436,order_status_inquiry,False,
100438,refund_or_return,False,
